bahrain      refLap=89.760s  slowest=55.7km/h @s=2547  top=309.3km/h  mean=237.73km/h
jeddah       refLap=92.479s  slowest=72.0km/h @s=465  top=322.5km/h  mean=255.79km/h
monaco       refLap=69.513s  slowest=43.9km/h @s=336  top=278.9km/h  mean=195.75km/h
silverstone  refLap=88.312s  slowest=74.9km/h @s=4073  top=308.5km/h  mean=254.59km/h
redbullring  refLap=66.406s  slowest=65.4km/h @s=1224  top=309.7km/h  mean=248.42km/h
spa          refLap=102.638s  slowest=51.9km/h @s=207  top=324.5km/h  mean=265.26km/h
zandvoort    refLap=70.677s  slowest=70.8km/h @s=3143  top=292.5km/h  mean=231.41km/h
monza        refLap=82.046s  slowest=58.8km/h @s=621  top=335.5km/h  mean=272.05km/h
suzuka       refLap=89.148s  slowest=60.3km/h @s=2655  top=300.5km/h  mean=247.31km/h
cota         refLap=96.532s  slowest=53.2km/h @s=3434  top=301.6km/h  mean=226.84km/h
interlagos   refLap=69.586s  slowest=66.0km/h @s=2701  top=305.4km/h  mean=241.12km/h
